session_id,archive_name,vehicle,mount_position,sampling_label,segment_id,segment_start_m,segment_end_m,start_time_s,end_time_s,latitude,longitude,mean_speed_kmh,median_gps_accuracy_m,n_samples,distance_coverage_m,max_sample_gap_s,rms_vertical,p95_abs,vdv_per_m,peak_density_per_m,psd_0_5_3hz,psd_3_15hz,data_quality_flag,valid_segment,segment_start_m_model,segment_end_m_model,start_time_s_model,end_time_s_model,latitude_model,longitude_model,mean_speed_kmh_model,median_gps_accuracy_m_model,n_samples_model,distance_coverage_m_model,max_sample_gap_s_model,rms_vertical_model,p95_abs_model,vdv_per_m_model,peak_density_per_m_model,psd_0_5_3hz_model,psd_3_15hz_model,rms_vertical_speed_corrected,p95_abs_speed_corrected,vdv_per_m_speed_corrected,psd_0_5_3hz_speed_corrected,psd_3_15hz_speed_corrected,relative_roughness_score,raw_cluster,roughness_class,hotspot_flag,load_kg,load_source,load_ratio,overload_flag,roughness_ratio,load_component_score,roughness_component_score,context_score,wear_risk_band,wear_multiplier,distance_km,wear_increment,cumulative_wear_score,estimated_remaining_km,service_alert
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,1,20.0,40.0,26.39,28.91,-7.937347925327746,112.62694721401176,28.651276992873168,5.841280136833594,253,19.939647813684992,0.0100000000000015,1.158374303021126,2.209238734118712,0.9427475214254488,0.6018160457058902,0.1566848045622877,1.5463989297635194,OK,True,20.0,40.0,26.39,28.91,-7.937347925327746,112.62694721401176,28.651276992873168,5.841280136833594,253.0,19.939647813684992,0.0100000000000015,1.158374303021126,2.209238734118712,0.9427475214254488,0.6018160457058902,0.1566848045622877,1.5463989297635194,0.9992982042871752,1.93797418083895,0.8700321945333875,0.1006331013347382,1.2358210602889843,10.5,1.0,Rendah,False,4709.1,load_profile,0.5886375,False,0.105,35.31825,4.2,39.51825,Rendah,1.4075438875,0.019939647813684992,0.0002806592939905505,0.0002806592939905505,7104.554268522304,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,2,40.0,60.0,28.92,31.42,-7.937240725230519,112.62678148660314,28.86345231486747,6.041934078745682,251,19.91152445304,0.0100000000000015,1.5479157372032284,2.9691627511760523,1.1879890793348218,0.5524438887611425,0.2718786980006667,1.6005885705171574,OK,True,40.0,60.0,28.92,31.42,-7.937240725230519,112.62678148660314,28.86345231486747,6.041934078745682,251.0,19.91152445304,0.0100000000000015,1.5479157372032284,2.9691627511760523,1.1879890793348218,0.5524438887611425,0.2718786980006667,1.6005885705171574,1.3296041324820989,2.594656761737417,1.0937942121768909,0.1723775958284442,1.270790397181894,52.6,0.0,Sedang,False,4764.3,load_profile,0.5955375,False,0.526,35.73225,21.04,56.77225,Sedang,1.630373045,0.019911524453039998,0.0003246321275309478,0.0006052914215214983,6133.528459345846,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,3,60.0,80.0,31.43,35.63,-7.9371363142058176,112.62662670549078,16.78919222685257,7.75839289702749,421,19.93865660870503,0.0100000000000051,1.6362713210689577,3.3884410920598085,1.7264506860561897,0.8526151151315761,0.0327514202336445,2.729353498745185,OK,True,60.0,80.0,31.43,35.63,-7.9371363142058176,112.62662670549078,16.78919222685257,7.75839289702749,421.0,19.93865660870503,0.0100000000000051,1.6362713210689577,3.3884410920598085,1.7264506860561897,0.8526151151315761,0.0327514202336445,2.729353498745185,1.9286125045804556,3.9202313862016354,1.887757007572295,0.0536048312732415,3.50273721696638,84.2,2.0,Tinggi,False,4227.8,load_profile,0.528475,False,0.8420000000000001,31.7085,33.68000000000001,65.38850000000001,Sedang,1.7428801900000002,0.01993865660870503,0.00034750689618524584,0.0009527983177067441,5737.574376910112,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,4,80.0,100.0,35.64,40.27,-7.937148688033428,112.62645553266094,15.605498550812015,9.806502699306296,464,19.977856669845025,0.0100000000000051,1.1113175512343951,2.306019277032422,1.0894076523324747,1.1012192330525246,0.0442742324836966,1.078771094720015,OK,True,80.0,100.0,35.64,40.27,-7.937148688033428,112.62645553266094,15.605498550812015,9.806502699306296,464.0,19.977856669845025,0.0100000000000051,1.1113175512343951,2.306019277032422,1.0894076523324747,1.1012192330525246,0.0442742324836966,1.078771094720015,1.3670032803863983,2.770884234256046,1.2191512511413287,0.0823567716698697,1.47712674502252,68.4,0.0,Sedang,False,4371.1,load_profile,0.5463875,False,0.684,32.78325,27.360000000000003,60.14325000000001,Sedang,1.67617831,0.019977856669845025,0.0003348645003028306,0.0012876628180095748,5965.875571864546,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,5,100.0,120.0,40.28,43.36,-7.937286367944559,112.62632634397508,23.59137094024498,8.212145974237101,309,19.95866180145001,0.0100000000000051,1.597162002515679,2.9789627596788724,1.4366013147589882,0.5010355954462586,0.0413853841690242,1.5023766143397994,OK,True,100.0,120.0,40.28,43.36,-7.937286367944559,112.62632634397508,23.59137094024498,8.212145974237101,309.0,19.95866180145001,0.0100000000000051,1.597162002515679,2.9789627596788724,1.4366013147589882,0.5010355954462586,0.0413853841690242,1.5023766143397994,1.5433886919109276,2.8898440423219207,1.410113826335272,0.0373479432026202,1.4262811219417704,78.9,0.0,Sedang,False,4664.3,load_profile,0.5830375,False,0.789,34.98225,31.560000000000002,66.54225,Sedang,1.7574258175,0.01995866180145001,0.0003507586753261931,0.0016384214933357678,5690.047373991458,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,6,120.0,140.0,43.37,46.55,-7.937435135647474,112.62620041875984,22.247564972336527,7.036293292384041,319,19.91933690003505,0.0100000000000051,1.427229467964128,2.784499121101613,1.2202219439870423,0.7028346410454741,0.0248356429462498,1.678695611803582,OK,True,120.0,140.0,43.37,46.55,-7.937435135647474,112.62620041875984,22.247564972336527,7.036293292384041,319.0,19.91933690003505,0.0100000000000051,1.427229467964128,2.784499121101613,1.2202219439870423,0.7028346410454741,0.0248356429462498,1.678695611803582,1.427229467964128,2.784499121101613,1.2202219439870423,0.0248356429462498,1.678695611803582,68.4,0.0,Sedang,False,4597.7,load_profile,0.5747125,False,0.684,34.482749999999996,27.360000000000003,61.842749999999995,Sedang,1.6970481700000002,0.01991933690003505,0.0003380407423381796,0.0019764622356739474,5892.468187144288,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,7,140.0,160.0,46.56,49.8,-7.937588780333956,112.62611566811184,21.98313918912361,9.543122735217883,325,19.95833165676501,0.0100000000000051,1.4593310056824147,2.681910243744297,1.399584979541908,0.8016702134808292,0.0159367436221259,1.4177165024362142,OK,True,140.0,160.0,46.56,49.8,-7.937588780333956,112.62611566811184,21.98313918912361,9.543122735217883,325.0,19.95833165676501,0.0100000000000051,1.4593310056824147,2.681910243744297,1.399584979541908,0.8016702134808292,0.0159367436221259,1.4177165024362142,1.4695559955831727,2.6985685428910684,1.404905098107855,0.016273774095316,1.4328197101284212,63.2,0.0,Sedang,False,4673.8,load_profile,0.584225,False,0.632,35.0535,25.28,60.3335,Sedang,1.67718104,0.019958331656765013,0.0003347373544475807,0.002311199590121528,5962.247748782676,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,8,160.0,180.0,49.81,52.61,-7.937774237134431,112.62597384178706,25.971564439949123,8.601026531130419,281,19.90262455631995,0.0100000000000051,1.1243369219402857,2.431486798773677,0.9531240153505656,0.6531801855183935,0.0103949098045868,1.1288054562522138,OK,True,160.0,180.0,49.81,52.61,-7.937774237134431,112.62597384178706,25.971564439949123,8.601026531130419,281.0,19.90262455631995,0.0100000000000051,1.1243369219402857,2.431486798773677,0.9531240153505656,0.6531801855183935,0.0103949098045868,1.1288054562522138,1.0271782006189802,2.244205066964545,0.9074469987561194,0.0079282256592991,0.9841210462516377,26.3,1.0,Rendah,False,4531.7,load_profile,0.5664625,False,0.263,33.98775,10.52,44.50775,Sedang,1.4748734275,0.01990262455631995,0.0002935385209562527,0.0026047381110777808,6780.06623465924,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,9,180.0,200.0,52.620000000000005,55.58,-7.937933173935864,112.62589038461252,24.280869792931824,7.727258000730413,297,19.92331155362496,0.0100000000000051,1.1027952859938075,2.0095150537563824,0.8381999797248928,0.7528868862802488,0.0162716399359117,0.9965111469331146,OK,True,180.0,200.0,52.620000000000005,55.58,-7.937933173935864,112.62589038461252,24.280869792931824,7.727258000730413,297.0,19.92331155362496,0.0100000000000051,1.1027952859938075,2.0095150537563824,0.8381999797248928,0.7528868862802488,0.0162716399359117,0.9965111469331146,1.047889262960921,1.9205314089469767,0.8152591492940418,0.0139621864680506,0.9221900171483588,15.8,1.0,Rendah,False,4882.8,load_profile,0.6103500000000001,False,0.158,36.621,6.32,42.941,Sedang,1.44869706,0.019923311553624957,0.0002886284287320051,0.002893366539809786,6902.554674436918,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,10,200.0,220.0,55.59,58.9,-7.938092578218829,112.62579531159258,21.65074514477132,6.776220884409401,332,19.95748186649999,0.0100000000000051,1.2737744768671233,2.381332956565821,1.0101471910157882,0.7515978268369886,0.0145846311656607,1.5199132345627886,OK,True,200.0,220.0,55.59,58.9,-7.938092578218829,112.62579531159258,21.65074514477132,6.776220884409401,332.0,19.95748186649999,0.0100000000000051,1.2737744768671233,2.381332956565821,1.0101471910157882,0.7515978268369886,0.0145846311656607,1.5199132345627886,1.2941624637582076,2.415105197087843,1.0189009515561942,0.0152955594438776,1.5569878186944792,36.8,0.0,Sedang,False,4881.7,load_profile,0.6102124999999999,False,0.368,36.61275,14.719999999999999,51.33275,Sedang,1.55823914,0.01995748186649999,0.00031098529380220533,0.0032043518336119913,6417.294565464861,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,11,220.0,240.0,58.91,64.84,-7.938304448508287,112.62570102614583,12.02639046029254,5.563923644683727,594,19.942879093754986,0.0100000000000051,0.7722624022226563,1.5038484692731682,0.735606811397109,1.404009915938771,0.0042085425787537,0.4461884729777878,OK,True,220.0,240.0,58.91,64.84,-7.938304448508287,112.62570102614583,12.02639046029254,5.563923644683727,594.0,19.942879093754986,0.0100000000000051,0.7722624022226563,1.5038484692731682,0.735606811397109,1.404009915938771,0.0042085425787537,0.4461884729777878,1.1060275364653218,2.068012987664668,0.8941575099992305,0.0123511772407618,0.7696272612325786,15.8,1.0,Rendah,False,4763.4,load_profile,0.595425,False,0.158,35.7255,6.32,42.0455,Sedang,1.4392704299999999,0.019942879093754987,0.0002870319616870675,0.0034913837952990586,6947.722021649865,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,12,240.0,260.0,64.85,70.53,-7.938437240826716,112.62561293303813,12.651171182292844,5.1255715500756365,569,19.962856394200003,0.0100000000000051,0.8933327464244392,1.8035065657178424,0.8936329396574793,1.3525118583653473,0.0121957144347527,0.4529027277415204,OK,True,240.0,260.0,64.85,70.53,-7.938437240826716,112.62561293303813,12.651171182292844,5.1255715500756365,569.0,19.962856394200003,0.0100000000000051,0.8933327464244392,1.8035065657178424,0.8936329396574793,1.3525118583653473,0.0121957144347527,0.4529027277415204,1.2421385267481424,2.415883565245898,1.0689271302710064,0.0327556470693686,0.7469187154658714,36.8,1.0,Rendah,False,4985.4,load_profile,0.6231749999999999,False,0.368,37.390499999999996,14.719999999999999,52.110499999999995,Sedang,1.5669706799999998,0.019962856394200004,0.00031281210658761925,0.003804195901886678,6381.497565997733,False
20260811_182606_294,session_20260811_182606_294.zip,tt,dashboard_center,100 Hz,228,4560.0,4580.0,726.94,732.65,-7.948611146391481,112.62403974367378,12.622581999682428,9.935,572,19.9730487146453,0.0100000000001045,0.9990242992439422,2.0357449403905776,1.0427847096279288,1.2016192591770891,0.0316630369054389,0.9047014419663084,OK,True,4560.0,4580.0,726.94,732.65,-7.948611146391481,112.62403974367378,12.622581999682428,9.935,572.0,19.9730487146453,0.0100000000001045,0.9990242992439422,2.0357449403905776,1.0427847096279288,1.2016192591770891,0.0316630369054389,0.9047014419663084,1.3909341849957912,2.730174874100804,1.2482321152426177,0.0853790243415305,1.4950112716893618,63.2,0.0,Sedang,False,3564.2,load_profile,0.445525,False,0.632,26.7315,25.28,52.0115,Sedang,1.5764293600000001,0.0199730487146453,0.0003148610040247712,0.0041190569059114494,6343.1881872013655,False
