session_id,archive_name,vehicle,status,total_segments,valid_segments,hotspots,sampling_hz,distance_speed_integrated_m,distance_haversine_m,valid_sample_share,reference_speed_kmh,model_reliability,speed_gamma_rms_vertical,speed_gamma_p95_abs,speed_gamma_vdv_per_m,speed_gamma_psd_0_5_3hz,speed_gamma_psd_3_15hz,silhouette_score,davies_bouldin_score,calinski_harabasz_score,hotspot_threshold
20260811_131526_089,Data (1).zip,sepeda,processed,187,182,19,50.0,3724.3344669680914,3834.026358516694,0.7823616212991743,33.78299337120306,standard,0.5262911125739087,0.509078979506491,0.0,1.3541105396571105,1.1371075153595998,0.37145627477397514,1.0302928736451984,234.59832731645156,90.1
20260811_182606_294,session_20260811_182606_294.zip,tt,processed,322,19,2,100.0,6441.514760631328,7180.228148309944,0.8689933438807703,22.247564972336527,limited_segments,0.5839516844817726,0.5178762577459739,0.31730930251580375,1.7502584975047268,0.8862608726577902,0.3325607929785683,0.9366041567803857,18.30570492613882,90.53999999999999
20260811_212352_867,session_20260811_212352_867 (1).zip,tt,processed,227,86,9,100.0,4528.343691427754,4795.092300760876,0.8246232087516224,34.66883965361865,standard,0.1006462944225197,0.04283215248658092,0.0,0.0,0.3108549836467949,0.4084749469389882,0.8767440534273923,136.17907749752263,87.80000000000001
20260811_224202_660,session_20260811_224202_660.zip,tt,processed,263,139,15,100.0,5263.587582060312,5695.43996969273,0.44766829299920574,35.66225022774848,standard,0.0,0.0,0.0,0.6960653293266763,0.0,0.36687588209604854,0.9974286909591289,153.92656300770622,88.5
